                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.96566,                0.61849,                 1.0315,                0.87431,                0.86667,                0.88455,                 0.6065,                 1.1025,                 0.8107,                 1.1424,              0.0009308,              0.0009308,              0.0009308
                     56,                0.98049,                0.60665,                  1.076,                 0.8939,                0.81699,                0.87256,                0.60099,                 1.0892,                0.74813,                 1.1242,               0.000911,               0.000911,               0.000911
                     57,                0.97022,                0.61944,                 1.0646,                0.90035,                0.81212,                0.88798,                0.58586,                 1.1496,                0.75958,                 1.1554,              0.0008912,              0.0008912,              0.0008912
                     58,                0.95378,                0.59521,                 1.0475,                0.88372,                0.83636,                 0.8852,                0.63497,                 1.0152,                0.72154,                 1.1168,              0.0008714,              0.0008714,              0.0008714
                     59,                 0.9415,                0.60694,                 1.0402,                0.88542,                0.83636,                0.87237,                0.61273,                 1.0961,                0.79593,                 1.1481,              0.0008516,              0.0008516,              0.0008516
                     60,                0.95627,                0.59577,                 1.0454,                0.88207,                0.85455,                0.88715,                0.61756,                 1.0785,                0.74454,                 1.1285,              0.0008318,              0.0008318,              0.0008318
                     61,                0.93661,                0.56849,                 1.0437,                0.94626,                    0.8,                0.88821,                0.62377,                 1.0695,                0.72056,                 1.1185,               0.000812,               0.000812,               0.000812
                     62,                0.95318,                0.59546,                 1.0245,                 0.8956,                0.84848,                0.89334,                0.60463,                   1.02,                0.68285,                 1.0804,              0.0007922,              0.0007922,              0.0007922
                     63,                0.91543,                0.57377,                 1.0317,                0.92201,                0.85981,                0.89918,                0.63053,                 1.0602,                0.71754,                 1.1086,              0.0007724,              0.0007724,              0.0007724
                     64,                0.93012,                0.57594,                 1.0223,                0.91292,                0.85455,                0.89145,                0.63759,                 1.0235,                0.71955,                 1.0978,              0.0007526,              0.0007526,              0.0007526
                     65,                0.94901,                0.61359,                 1.0521,                0.90758,                0.83324,                0.89692,                0.62083,                 1.0376,                0.71873,                 1.1062,              0.0007328,              0.0007328,              0.0007328
                     66,                0.90937,                0.57105,                 1.0339,                0.89892,                 0.8303,                0.89491,                0.62444,                 1.0564,                0.70164,                  1.106,               0.000713,               0.000713,               0.000713
                     67,                0.89522,                0.55969,                 1.0446,                0.91429,                0.82424,                0.89733,                0.62565,                 1.0249,                0.66572,                 1.1211,              0.0006932,              0.0006932,              0.0006932
                     68,                0.93099,                0.57402,                 1.0535,                0.87295,                0.87448,                0.90819,                0.63964,                 0.9848,                0.64255,                 1.1287,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.8775,                0.54432,                 1.0205,                0.86287,                0.87273,                0.89774,                0.59051,                 1.1425,                0.71859,                 1.1279,              0.0006536,              0.0006536,              0.0006536
                     70,                0.88711,                0.54582,                  1.008,                0.91903,                0.84848,                0.89574,                 0.6077,                 1.0594,                 0.6777,                 1.1154,              0.0006338,              0.0006338,              0.0006338
                     71,                0.87572,                0.52904,                0.99067,                0.92562,                 0.8296,                0.88058,                 0.6231,                 1.0136,                0.69598,                 1.1372,               0.000614,               0.000614,               0.000614
                     72,                  0.846,                0.52247,                0.97344,                0.89693,                0.83636,                0.87564,                0.60491,                 1.0101,                0.68506,                 1.1302,              0.0005942,              0.0005942,              0.0005942
                     73,                 0.8477,                0.51721,                 0.9927,                0.91841,                0.85455,                0.88911,                0.60188,                 1.1198,                0.71053,                 1.1512,              0.0005744,              0.0005744,              0.0005744
                     74,                 0.8749,                0.55253,                 1.0246,                0.89727,                0.84696,                0.88442,                0.61616,                 1.0374,                0.73417,                 1.1097,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.8098,                0.50562,                 0.9779,                0.93167,                0.82632,                0.88653,                 0.6346,                  1.041,                0.73054,                 1.1071,              0.0005348,              0.0005348,              0.0005348
                     76,                0.79361,                0.48214,                0.96466,                0.93889,                 0.8303,                0.89795,                0.62945,                 1.0213,                0.69209,                 1.1116,               0.000515,               0.000515,               0.000515
                     77,                0.85639,                0.55127,                0.99435,                0.89773,                0.85118,                0.89838,                0.64868,                0.98891,                 0.6921,                 1.0898,              0.0004952,              0.0004952,              0.0004952
                     78,                0.83622,                0.51685,                0.98594,                0.92892,                0.84848,                0.89873,                0.64147,                 1.0206,                0.70337,                 1.1239,              0.0004754,              0.0004754,              0.0004754
                     79,                0.82392,                0.52549,                0.98768,                0.92059,                0.84313,                0.89837,                0.63075,                 1.0562,                0.70468,                 1.1309,              0.0004556,              0.0004556,              0.0004556
                     80,                0.80292,                0.48998,                0.97886,                0.93345,                 0.8303,                0.88982,                0.64632,                 1.0048,                0.66639,                 1.1044,              0.0004358,              0.0004358,              0.0004358
                     81,                0.81198,                0.50093,                0.98838,                0.93898,                0.83939,                0.90242,                0.64692,                 1.0148,                0.70403,                 1.1164,               0.000416,               0.000416,               0.000416
